set,type,name,faction,image_url,local_file
Core Set,Ship,Blob Destroyer,Blob,https://www.starrealms.com/wp-content/uploads/2017/12/Blob-Destroyer-214x300.jpg,star_realms_assets/core/blob/blob_destroyer.jpg
Core Set,Ship,Blob Fighter,Blob,https://www.starrealms.com/wp-content/uploads/2017/12/Blob-Fighter-214x300.jpg,star_realms_assets/core/blob/blob_fighter.jpg
Core Set,Base,Blob Wheel,Blob,https://www.starrealms.com/wp-content/uploads/2017/12/Blob-Wheel-300x214.jpg,star_realms_assets/core/blob/blob_wheel.jpg
Core Set,Base,Blob World,Blob,https://www.starrealms.com/wp-content/uploads/2017/12/Blob-World-300x214.jpg,star_realms_assets/core/blob/blob_world.jpg
Core Set,Ship,Mothership,Blob,https://www.starrealms.com/wp-content/uploads/2017/12/Mothership-214x300.jpg,star_realms_assets/core/blob/mothership.jpg
Core Set,Ship,Ram,Blob,https://www.starrealms.com/wp-content/uploads/2017/12/Ram-214x300.jpg,star_realms_assets/core/blob/ram.jpg
Core Set,Base,The Hive,Blob,https://www.starrealms.com/wp-content/uploads/2017/12/The-Hive-300x214.jpg,star_realms_assets/core/blob/the_hive.jpg
Core Set,Ship,Trade Pod,Blob,https://www.starrealms.com/wp-content/uploads/2017/12/Trade-Pod-214x300.jpg,star_realms_assets/core/blob/trade_pod.jpg
Core Set,Ship,Battle Mech,Machine Cult,https://www.starrealms.com/wp-content/uploads/2017/12/Battle-Mech-214x300.jpg,star_realms_assets/core/machine_cult/battle_mech.jpg
Core Set,Base,Battle Station,Machine Cult,https://www.starrealms.com/wp-content/uploads/2017/12/Battle-Station-300x214.jpg,star_realms_assets/core/machine_cult/battle_station.jpg
Core Set,Base,Brain World,Machine Cult,https://www.starrealms.com/wp-content/uploads/2017/12/Brain-World-300x214.jpg,star_realms_assets/core/machine_cult/brain_world.jpg
Core Set,Base,Junkyard,Machine Cult,https://www.starrealms.com/wp-content/uploads/2017/12/Junkyard-300x214.jpg,star_realms_assets/core/machine_cult/junkyard.jpg
Core Set,Base,Machine Base,Machine Cult,https://www.starrealms.com/wp-content/uploads/2017/12/Machine-Base-300x214.jpg,star_realms_assets/core/machine_cult/machine_base.jpg
Core Set,Base,Mech World,Machine Cult,https://www.starrealms.com/wp-content/uploads/2017/12/Mech-World-300x214.jpg,star_realms_assets/core/machine_cult/mech_world.jpg
Core Set,Ship,Missile AI,Machine Cult,https://www.starrealms.com/wp-content/uploads/2017/12/Missile-AI-214x300.jpg,star_realms_assets/core/machine_cult/missile_AI.jpg
Core Set,Ship,Missile Mech,Machine Cult,https://www.starrealms.com/wp-content/uploads/2017/12/Missile-Mech-214x300.jpg,star_realms_assets/core/machine_cult/missile_mech.jpg
Core Set,Ship,Patrol Mech,Machine Cult,https://www.starrealms.com/wp-content/uploads/2017/12/Patrol-Mech-214x300.jpg,star_realms_assets/core/machine_cult/patrol_mech.jpg
Core Set,Ship,Stealth Needle,Machine Cult,https://www.starrealms.com/wp-content/uploads/2017/12/Stealth-Needle-214x300.jpg,star_realms_assets/core/machine_cult/stealth_needle.jpg
Core Set,Ship,Supply AI,Machine Cult,https://www.starrealms.com/wp-content/uploads/2017/12/Supply-AI-214x300.jpg,star_realms_assets/core/machine_cult/supply_AI.jpg
Core Set,Ship,Trade AI,Machine Cult,https://www.starrealms.com/wp-content/uploads/2017/12/Trade-AI-214x300.jpg,star_realms_assets/core/machine_cult/trade_AI.jpg
Core Set,Ship,Battlecruiser,Star Empire,https://www.starrealms.com/wp-content/uploads/2017/12/Battlecruiser-214x300.jpg,star_realms_assets/core/star_empire/battlecruiser.jpg
Core Set,Ship,Corvette,Star Empire,https://www.starrealms.com/wp-content/uploads/2017/12/Corvette-214x300.jpg,star_realms_assets/core/star_empire/corvette.jpg
Core Set,Ship,Dreadnaught,Star Empire,https://www.starrealms.com/wp-content/uploads/2017/12/Dreadnaught-214x300.jpg,star_realms_assets/core/star_empire/dreadnaught.jpg
Core Set,Base,Fleet HQ,Star Empire,https://www.starrealms.com/wp-content/uploads/2017/12/Fleet-HQ-300x214.jpg,star_realms_assets/core/star_empire/fleet_hq.jpg
Core Set,Ship,Imperial Fighter,Star Empire,https://www.starrealms.com/wp-content/uploads/2017/12/Imperial-Fighter-214x300.jpg,star_realms_assets/core/star_empire/imperial_fighter.jpg
Core Set,Ship,Imperial Frigate,Star Empire,https://www.starrealms.com/wp-content/uploads/2017/12/Imperial-Frigate-214x300.jpg,star_realms_assets/core/star_empire/imperial_frigate.jpg
Core Set,Base,Recycling Station,Star Empire,https://www.starrealms.com/wp-content/uploads/2017/12/Recycling-Station-300x214.jpg,star_realms_assets/core/star_empire/recycling_station.jpg
Core Set,Base,Royal Redoubt,Star Empire,https://www.starrealms.com/wp-content/uploads/2017/12/Royal-Redoubt-300x214.jpg,star_realms_assets/core/star_empire/royal_redoubt.jpg
Core Set,Base,Space Station,Star Empire,https://www.starrealms.com/wp-content/uploads/2017/12/Space-Station-300x214.jpg,star_realms_assets/core/star_empire/space_station.jpg
Core Set,Ship,Survey Ship,Star Empire,https://www.starrealms.com/wp-content/uploads/2017/12/Survey-Ship-214x300.jpg,star_realms_assets/core/star_empire/survey_ship.jpg
Core Set,Base,War World,Star Empire,https://www.starrealms.com/wp-content/uploads/2017/12/War-World-300x214.jpg,star_realms_assets/core/star_empire/war_world.jpg
Core Set,Base,Barter World,Trade Federation,https://www.starrealms.com/wp-content/uploads/2017/12/Barter-World-300x214.jpg,star_realms_assets/core/trade_federation/barter_world.jpg
Core Set,Base,Central Office,Trade Federation,https://www.starrealms.com/wp-content/uploads/2017/12/Central-Office-300x214.jpg,star_realms_assets/core/trade_federation/central_office.jpg
Core Set,Ship,Command Ship,Trade Federation,https://www.starrealms.com/wp-content/uploads/2017/12/Command-Ship-214x300.jpg,star_realms_assets/core/trade_federation/command_ship.jpg
Core Set,Ship,Cutter,Trade Federation,https://www.starrealms.com/wp-content/uploads/2017/12/Cutter-214x300.jpg,star_realms_assets/core/trade_federation/cutter.jpg
Core Set,Base,Defense Center,Trade Federation,https://www.starrealms.com/wp-content/uploads/2017/12/Defense-Center-300x214.jpg,star_realms_assets/core/trade_federation/defense_center.jpg
Core Set,Ship,Embassy Yacht,Trade Federation,https://www.starrealms.com/wp-content/uploads/2017/12/Embassy-Yacht-214x300.jpg,star_realms_assets/core/trade_federation/embassy_yacht.jpg
Core Set,Ship,Federation Shuttle,Trade Federation,https://www.starrealms.com/wp-content/uploads/2017/12/Federation-Shuttle-214x300.jpg,star_realms_assets/core/trade_federation/federation_shuttle.jpg
Core Set,Ship,Flagship,Trade Federation,https://www.starrealms.com/wp-content/uploads/2017/12/Flagship-214x300.jpg,star_realms_assets/core/trade_federation/flagship.jpg
Core Set,Ship,Freighter,Trade Federation,https://www.starrealms.com/wp-content/uploads/2017/12/Freighter-214x300.jpg,star_realms_assets/core/trade_federation/freighter.jpg
Core Set,Base,Port of Call,Trade Federation,https://www.starrealms.com/wp-content/uploads/2017/12/Port-of-Call-300x214.jpg,star_realms_assets/core/trade_federation/port_of_call.jpg
Core Set,Ship,Trade Escort,Trade Federation,https://www.starrealms.com/wp-content/uploads/2017/12/Trade-Escort-214x300.jpg,star_realms_assets/core/trade_federation/trade_escort.jpg
Core Set,Base,Trading Post,Trade Federation,https://www.starrealms.com/wp-content/uploads/2017/12/Trading-Post-300x214.jpg,star_realms_assets/core/trade_federation/trading_post.jpg
